Publisher,Author,Goodreads_Rating,Distinct_Works_Count,Sample_Book_Title,Sample_Book_Genre,Sample_Book_Pages
"John Wiley & Sons, Inc.",Gail Helsel,,1,TurboTax for Windows for dummies,Business & Economics,297
"John Wiley & Sons, Inc.",Baha Alzalg,4.5,1,Combinatorial and Algorithmic Mathematics,Mathematics,551
"John Wiley & Sons, Inc.",Jerry J. Weygandt,3.93,10,Accounting principles,Business & Economics,0
"John Wiley & Sons, Inc.",William A. Cohen,3.75,10,The Entrepreneur and Small Business Problem Solver,Business & Economics,656
"John Wiley & Sons, Inc.",Gerard J. Tortora,4.03,10,Principles of Anatomy and Physiology,Anatomie humaine,1248
"John Wiley & Sons, Inc.",Friedrich Nietzsche,4.04,11,Jenseits von Gut und Böse,Ethics,204
"John Wiley & Sons, Inc.",Virginia Woolf,4.0,11,A Room of One's Own,Authorship,143
"John Wiley & Sons, Inc.",Rudyard Kipling,3.9,14,Kim,Fiction,286
"John Wiley & Sons, Inc.",Karl Marx,3.8,15,Manifest der Kommunistischen Partei,Communism,72
"John Wiley & Sons, Inc.",Hermann Hesse,4.08,11,Demian,Teenage boys,185
"John Wiley & Sons, Inc.",Solomon Northup,4.22,10,Twelve years a slave,Slavery,233
"John Wiley & Sons, Inc.",Charles Dickens,3.92,12,David Copperfield,British and irish drama (dramatic works by one author),741
"John Wiley & Sons, Inc.",Hans Christian Andersen,4.07,12,Hans Andersen's Fairy Tales,Miniature books,250
"John Wiley & Sons, Inc.",William Shakespeare,3.86,15,Twelfth Night,Drama,154
"John Wiley & Sons, Inc.",Πλάτων,4.2,10,πολιτεία,Political science,397
"John Wiley & Sons, Inc.",John Steinbeck,3.97,13,The Grapes of Wrath,Labor camps,553
"John Wiley & Sons, Inc.",Marcus Aurelius,4.31,10,Meditations,Early works to 1800,210
"John Wiley & Sons, Inc.",Kahlil Gibran,4.15,11,The Prophet,American Prose poems,107
"John Wiley & Sons, Inc.",Frederick Douglass,4.16,12,Narrative of the life of Frederick Douglass,"Douglass, frederick, 1818-1895",127
"Scholastic, Inc.",Ed Young,4.01,10,Seven Blind Mice,Juvenile Fiction,0
"Scholastic, Inc.",Barbara Mariconda,3.76,11,Super Story-Writing Stategies & Activities,Unknown,68
"Scholastic, Inc.",Ann McGovern,4.24,10,If you sailed on the Mayflower,History,78
"Scholastic, Inc.",Kristiana Gregory,3.94,19,The Winter of Red Snow,Juvenile Fiction,173
"Scholastic, Inc.",Clifford Riley,4.16,12,The 39 Clues: Midnight Ride,Juvenile Fiction,77
"Scholastic, Inc.",Carol Beach York,3.67,12,The witch lady mystery,Mystery and detective stories,60
"Scholastic, Inc.",Inez Snyder,3.63,11,Tomatoes to ketchup,Cooking,24
"Scholastic, Inc.",Elizabeth Faucher,3.57,9,The Addams Family,Addams family (Fictitious characters),141
"Scholastic, Inc.",Anne F. Rockwell,,191,Little shark,Nature,0
"Scholastic, Inc.",Norman Bridwell,4.14,12,Clifford's ABC,Juvenile Nonfiction,30
"Scholastic, Inc.",Maggie Stiefvater,4.0,23,Mister Impossible,Young Adult Fiction,280
"Scholastic, Inc.",Dick King-Smith,3.97,12,Mr. Ape,Animals,150
"Scholastic, Inc.",Jovial Bob Stine,3.68,10,Spaceballs,Life on other planets,122
"Scholastic, Inc.",Scholastic Inc,4.14,14,Historical Fiction,Fiction genres,52
"Scholastic, Inc.",Todd Strasser,3.72,17,"Honey, I Blew Up the Kid",Fantasy,86
"Scholastic, Inc.",Jordan Horowitz,4.09,10,"D2, the Mighty Ducks are Back!",Hockey stories,140
"Scholastic, Inc.",A Sperling,4.14,5,I Can Draw Cartoon Characters,Cartoon characters,0
"Scholastic, Inc.",Suzanne Collins,4.29,12,The Hunger Games,severe poverty,399
"Scholastic, Inc.",Beatrix Potter,4.2,13,The Tale of Peter Rabbit,"Rabbits, fiction",32
"Scholastic, Inc.",C.S. Lewis,4.17,15,Prince Caspian,Fantasy,216
"Scholastic, Inc.",Philip Pullman,4.06,15,Northern Lights,Political theology,416
"Scholastic, Inc.",Eric Carle,4.26,14,The Very Hungry Caterpillar,Children's fiction,26
"Scholastic, Inc.",J. K. Rowling,4.46,15,Harry Potter and the Half-Blood Prince,orphans,652
"Scholastic, Inc.",Jules Verne,3.89,15,Voyage au Centre de la Terre,Fiction,243
"Scholastic, Inc.",Maurice Sendak,4.23,11,Where the Wild Things Are,Caldecott Medal,42
"Scholastic, Inc.",Katherine Paterson,4.01,11,Bridge to Terabithia,Amistad,152
"Scholastic, Inc.",Laura Ingalls Wilder,3.95,10,Little House in the Big Woods,Juvenile fiction,228
"Scholastic, Inc.",Margaret Wise Brown,4.24,13,Goodnight Moon,Children's fiction,32
"Scholastic, Inc.",Nevil Shute,4.08,10,On The Beach,Atomic Bomb,292
"Scholastic, Inc.",Roald Dahl,4.15,15,The Twits,humorous stories,96
"Scholastic, Inc.",Frances Hodgson Burnett,4.17,15,A Little Princess,Children's fiction,224
"Scholastic, Inc.",L. Frank Baum,3.97,14,Ozma of Oz,Fantasy,120
Houghton Mifflin Harcourt Publishing Company,Mary Johnston,3.87,10,To Have and to Hold,Fiction,410
Houghton Mifflin Harcourt Publishing Company,Houghton Mifflin Harcourt,3.91,10,Houghton Mifflin Harcourt Social Studies New York,Juvenile Nonfiction,8
Houghton Mifflin Harcourt Publishing Company,Houghton Mifflin Company,4.01,10,"Hanks Pand, Phonics Library Take Home Level 2, Set of 5",Juvenile Nonfiction,8
Houghton Mifflin Harcourt Publishing Company,Houghton Mifflin Company Staff,0.0,3,HM Mathematics Level 3,Education,648
Houghton Mifflin Harcourt Publishing Company,James David Cooper,3.91,10,Houghton Mifflin Reading,Reading,48
Houghton Mifflin Harcourt Publishing Company,Math,3.85,9,"Mathmatics, Literature Library Level K",Juvenile Nonfiction,0
Houghton Mifflin Harcourt Publishing Company,Copper J David,4.13,15,Houghton Mifflin Reading,Reading,312
Houghton Mifflin Harcourt Publishing Company,HOUGHTON MIFFLIN,3.79,15,Houghton Mifflin Reading,Unknown,368
Houghton Mifflin Harcourt Publishing Company,"Houghton, Mifflin and Company",0.0,5,Houghton Mifflin Discovery Works,Science,112
Houghton Mifflin Harcourt Publishing Company,Reading,3.69,10,"Reading, Grades K-2 Mega Bookroom Box 2",Juvenile Nonfiction,0
Houghton Mifflin Harcourt Publishing Company,Social,3.75,11,"Social Studies Leveled Readers Only Crt Above Level, 6pk Level K",Juvenile Nonfiction,0
Houghton Mifflin Harcourt Publishing Company,Science,4.14,10,"Hide and Seek, Independent Book on Level Level 2 Chapter 5, 6pk",Juvenile Nonfiction,0
Houghton Mifflin Harcourt Publishing Company,Read,4.01,10,Bobprob Pl Th Fo S5 Grade 2 Theme 1,Juvenile Nonfiction,8
Houghton Mifflin Harcourt Publishing Company,Juli K. Dixon,4.33,11,Go Math!,Arithmetic,0
Houghton Mifflin Harcourt Publishing Company,Roger B. Beck,3.7,10,World History,World history,1105
Houghton Mifflin Harcourt Publishing Company,"Shipman, James",3.91,13,Introduction to Physical Science (Custom),Unknown,0
Houghton Mifflin Harcourt Publishing Company,Edward B. Burger,3.97,10,Into Algebra 2,Algebra,720
Houghton Mifflin Harcourt Publishing Company,Lois Lowry,4.1,17,The Giver,Unknown,192
Houghton Mifflin Harcourt Publishing Company,Holt Rinehart & Winston,3.67,11,Things Fall Apart with Connections,Juvenile Fiction,256
Houghton Mifflin Harcourt Publishing Company,Houghton Mifflin Harcourt Publishing Company Staff,0.0,1,Houghton Mifflin Harcourt Social Studies New York,Unknown,644
Houghton Mifflin Harcourt Publishing Company,Jack Schaefer,3.97,10,Shane,Frontier and pioneer life,168
Houghton Mifflin Harcourt Publishing Company,Carol Berkin,3.71,10,Making America - To 1877,History,608
Houghton Mifflin Harcourt Publishing Company,Mary Norton,4.03,12,The Borrowers,Borrowers (Fictitious characters),192
Houghton Mifflin Harcourt Publishing Company,Antoine de Saint-Exupéry,4.33,10,The Little Prince,Juvenile Fiction,96
Houghton Mifflin Harcourt Publishing Company,Hmh Hmh,0.0,2,Student Edition Grade 5 2012,Juvenile Nonfiction,0
Houghton Mifflin Harcourt Publishing Company,J.R.R. Tolkien,4.37,15,The Two Towers,Ents,434
Houghton Mifflin Harcourt Publishing Company,George Orwell,4.11,11,Homage to Catalonia,English Personal narratives,241
Houghton Mifflin Harcourt Publishing Company,Günter Grass,3.81,12,Die Blechtrommel,Fiction,591
Houghton Mifflin Harcourt Publishing Company,Margaret Atwood,4.05,14,The Handmaid's Tale,brothels,350
Houghton Mifflin Harcourt Publishing Company,Umberto Eco,3.99,15,Il nome della rosa,Novela de misterio,533
Houghton Mifflin Harcourt Publishing Company,Willa Cather,3.7,11,My Ántonia,Literature,286
Houghton Mifflin Harcourt Publishing Company,Gerard J. Tortora,4.03,10,Principles of Anatomy and Physiology,Anatomie humaine,1248
Houghton Mifflin Harcourt Publishing Company,Adolf Hitler,3.99,14,Mein Kampf,Politics and government,694
Houghton Mifflin Harcourt Publishing Company,Virginia Woolf,4.0,11,The Waves,British and irish fiction (fictional works by one author),256
Houghton Mifflin Harcourt Publishing Company,Henry David Thoreau,3.84,11,Walden,Biography,337
Houghton Mifflin Harcourt Publishing Company,William Wordsworth,3.98,10,Poems,Gift books,368
Houghton Mifflin Harcourt Publishing Company,Nathaniel Hawthorne,3.47,12,The Scarlet Letter,Fiction,288
Houghton Mifflin Harcourt Publishing Company,Kate Chopin,3.74,11,The Awakening,Adultery,218
HarperCollins Publishers,Mark Manson,3.88,11,Everything Is #%!ed Merch Ed: a Book about Hope,Unknown,288
HarperCollins Publishers,George Orwell,4.11,11,Homage to Catalonia (Collins Classics),Spain,288
HarperCollins Publishers,Lewis Carroll,4.04,12,Alice’s Adventures in Wonderland (HarperCollins Children’s Classics),Juvenile Fiction,136
HarperCollins Publishers,J R R Tolkien,3.98,10,The Hobbit Illustrated by the Author,Fiction,0
HarperCollins Publishers,Sir Arthur Conan Doyle,4.33,10,The Hound of the Baskervilles: A Sherlock Holmes Adventure (Collins Classics),Fiction,194
HarperCollins Publishers,Barbara Kingsolver,4.16,11,Demon Copperhead,Fiction,0
HarperCollins Publishers,F. W. Walbank,4.0,10,The Hellenistic World,History,281
HarperCollins Publishers,HarperCollins Publishers Limited,0.0,1,Popular Holy Bible,Unknown,269
HarperCollins Publishers,Donna Marchetti,3.89,12,Hate Mail,Fiction,360
HarperCollins Publishers,Frances Hodgson Burnett,4.17,15,A Little Princess (HarperCollins Children’s Classics),Juvenile Fiction,235
HarperCollins Publishers,James Matthew Barrie,4.05,13,Peter Pan,Unknown,0
HarperCollins Publishers,J.r.r. Tolkien,4.37,15,The Hobbit,Hobbits (Fictitious characters),336
HarperCollins Publishers,Arthur Conan Doyle,4.33,10,The Sign of the Four (Collins Classics),Fiction,176
HarperCollins Publishers,COLLINS UK,4.15,10,Good News Bible,Unknown,1312
HarperCollins Publishers,John D. Rateliff,3.82,12,The History of the Hobbit: Mr Baggins and Return to Bag-End,Fiction,514
HarperCollins Publishers,Vincent Cronin,4.09,10,"Paris, City of Light: 1919–1939 (Text Only)",History,311
HarperCollins Publishers,Francesca Gibbons,4.16,6,"Beyond the Mountains (A Clock of Stars, Book 2)",Juvenile Fiction,428
HarperCollins Publishers,Charles Glass,3.78,10,Tribes with Flags: Adventure and Kidnap in Greater Syria,Travel,492
HarperCollins Publishers,Joseph Conrad,3.49,13,Heart of Darkness (Collins Classics),Fiction,128
HarperCollins Publishers,J. R. R. Tolkien,4.37,15,The Two Towers [Tv Tie-In]: The Lord of the Rings Part Two,Fiction,352
HarperCollins Publishers,Dr Robert M. Youngson,4.0,7,Human Biology (Collins Internet-Linked Dictionary of),Science,329
HarperCollins Publishers,Marcus Aurelius,4.31,10,Meditations,Unknown,256
HarperCollins Publishers,Duncan Barrett,3.97,14,"The Sugar Girls – Ethel’s Story: Tales of Hardship, Love and Happiness in Tate & Lyle’s East End",History,142
HarperCollins Publishers,HarperCollins UK Staff,0.0,1,Collins English Dictionary,English language,1958
HarperCollins Publishers,Dr. Seuss,4.27,14,Green Eggs and Ham,Juvenile Fiction,0
HarperCollins Publishers,C.S. Lewis,4.17,15,The Magician's Nephew,Fantasy,186
HarperCollins Publishers,Agatha Christie,4.31,10,After the Funeral,Fiction,237
HarperCollins Publishers,Erich Fromm,4.08,12,The Art of Loving,Love,138
HarperCollins Publishers,J.R.R. Tolkien,4.37,15,The Lord of the Rings,The Lord of the Rings,1193
HarperCollins Publishers,Paulo Coelho,3.83,11,The Alchemist,Translations into Indonesian,197
HarperCollins Publishers,Rudyard Kipling,3.9,14,Just So Stories,Animals,113
HarperCollins Publishers,Gerard J. Tortora,4.03,10,Principles of Anatomy and Physiology,Anatomie humaine,1248
HarperCollins Publishers,Martin Heidegger,4.06,11,Sein und Zeit,Espace et temps,437
HarperCollins Publishers,Katherine Paterson,4.01,11,Bridge to Terabithia,Amistad,152
HarperCollins Publishers,Louisa May Alcott,4.14,15,Little men,Louisa May Alcott,336
HarperCollins Publishers,Harper Lee,4.22,11,To Kill a Mockingbird,fiction,320
HarperCollins Publishers,Margaret Wise Brown,4.24,13,Goodnight Moon,Children's fiction,32
HarperCollins Publishers,Mary Shelley,3.88,12,The Last Man,Fiction,414
HarperCollins Publishers,Hermann Hesse,4.08,11,Demian,Teenage boys,185
HarperCollins Publishers,E. B. White,4.19,10,Charlotte's Web,Farm life,184
Merriam-Webster Inc.,"Merriam-Webster, Incorporated",,500,Merriam-Webster's Standard American Style Manual,Language Arts & Disciplines,484
Merriam-Webster Inc.,Mark Irwin,3.97,15,Loanwords in Japanese,Language Arts & Disciplines,298
Merriam-Webster Inc.,Allan Bell,3.55,12,New Zealand English,Language Arts & Disciplines,368
Merriam-Webster Inc.,L. Russ Bush,4.2,3,"A Supplemental Guide to Kate L. Turabian, A Manual for Writers, Sixth Edition",Authorship,106
Merriam-Webster Inc.,Cla,4.21,17,Cla/cp Exam Flashcard Study System,Unknown,0
Merriam-Webster Inc.,"Society of Writers, Editors and Translators, Tokyo",4.4,1,Japan Style Sheet,Reference,82
Merriam-Webster Inc.,John Keith Hanrahan,,500,Literary Market Place,Authorship,582
Merriam-Webster Inc.,Lane Smith,4.21,13,There Is a Tribe of Kids,Juvenile Fiction,44
Merriam-Webster Inc.,Grace E. Smith,4.12,10,Differentiating Instruction with Technology in K-5 Classrooms,Educational technology,0
Merriam-Webster Inc.,Anne M. Coghill,,500,ACS Style Guide,Authorship,0
Merriam-Webster Inc.,Stanley Kunitz,3.08,10,Wilson Library Bulletin,Best books,830
Merriam-Webster Inc.,"Merriam-Webster, Inc",4.43,10,Merriam-Webster's Rhyming Dictionary,English language,0
Merriam-Webster Inc.,María Ruiz de Burton,3.18,10,Who Would Have Thought It?,Fiction,310
Merriam-Webster Inc.,Roland Li,3.54,16,Good Luck Have Fun,Games & Activities,257
Merriam-Webster Inc.,Robert Cawdrey,4.13,3,A table alphabeticall of hard usual English words,Unknown,0
Merriam-Webster Inc.,Megan Wagner Lloyd,4.17,11,Paper Mice,Juvenile Fiction,44
Merriam-Webster Inc.,Jonathan D. B. Weyers,,2,"How to Cite, Reference & Avoid Plagiarism at University",Academic writing,181
Merriam-Webster Inc.,Jonathan Crichton,3.67,10,English Made Easy Volume Two,Foreign Language Study,194
Merriam-Webster Inc.,Oxford University Press,3.97,11,"Rules for Compositors and Readers ... at the University Press, Oxford",Unknown,88
Merriam-Webster Inc.,Society of Biblical Literature,4.35,10,The SBL Handbook of Style,History,312
Merriam-Webster Inc.,Herbert C. Morton,4.25,9,The Story of Webster's Third,Language Arts & Disciplines,364
Merriam-Webster Inc.,Jess Walter,3.72,11,The Zero LP,Fiction,482
Merriam-Webster Inc.,Rudyard Kipling,3.9,14,Plain Tales from the Hills,Fiction,336
