Publisher,Regional Preference/Origin Location,Website,Subjects,Genre,No. of Books Published (last 5 yrs),Max. Publications' Year,Max. Publications' Season,Manuscript Needed (Y/N),Chapters Needed (Y/N),requires_agent,peer_reviewed,proposal_required,academic_focus,religious_focus,in_house,open_calls,Miscellaneous Submission Requirements,Promotion Channels,Titles/Industry Recognitions
"John Wiley & Sons, Inc.","Hoboken, United States",https://www.wiley.com/en-us,"Reference, Law, Language, History, Gender Studies, Essays, Education, Economics",Multi,7500,2024,Fall,Y,Y,N,N,Y,N,None,N,N,Proposal submission via Wiley’s portal; CV/author background recommended,"Partnerships with academic institutions, libraries, major retailers; online & conferences",One of the oldest US publishers; numerous award-winning academic/professional titles
"Scholastic, Inc.","New York, United States",https://www.scholastic.com/home,"Juvenile, Children's, Reference, Language",Multi,3000,2023,Fall,Y,Y,Y,N,N,N,None,N,N,Typically agented only; unsolicited rarely accepted—see Scholastic website,"Global school market distribution, Scholastic Book Fairs, library marketing",Largest children's publisher; multiple children's publishing awards
Houghton Mifflin Harcourt Publishing Company,"Boston, United States",https://www.hmhco.com/,"School, Juvenile, Children's",Multi,10000,2023,Summer,Y,Y,Y,N,N,N,None,N,N,Generally agented; unsolicited often returned unread,"Large distribution in schools/libraries, strong digital presence, trade show promotions","Numerous award-winning children’s/educational titles (Caldecott, Newbery, etc.)"
HarperCollins Publishers,"New York, United States",https://www.harpercollins.com/,"Science, Romance, Mystery, History, Cookbook, Business, Biography, Religion",Multi,596,2020,Winter,Y,Y,Y,N,N,N,None,N,N,Prefers agented; unsolicited not encouraged; check sub guidelines,"Global distribution, online channels, social media outreach","Big Five; multiple Pulitzer Prizes, National Book Awards"
Merriam-Webster Inc.,"Springfield, United States",https://www.merriam-webster.com/,"Dictionary, Reference",Multi,50,2019,Summer,Y,N,N,N,N,N,None,Y,N,N/A (primarily in-house lexicographic content),"Adopted widely by schools/libraries, direct & retail distribution","Iconic dictionary brand, recognized for reference excellence"
O'Reilly Media Inc,"Sebastopol, United States",https://www.oreilly.com/,"Technology, Software, Science, Photography, History, Computer, Business",Multi,1000,2019,Summer,N,Y,N,N,Y,N,None,N,N,Proposals with sample code or outline for tech topics; N/A otherwise,"Conferences (OSCON, etc.), corporate training, O’Reilly Online Learning platform","Leader in tech publishing, known for innovation & distinctive “animal” covers"
Penguin Random House,"New York, United States",https://www.penguinrandomhouse.com/,"Technology, Society, Social Sciences, Self-Help, Science Fiction, Science, Politics, Novel",Multi,50000,2019,Summer,Y,Y,Y,N,N,N,None,N,N,Generally agented; unsolicited rarely accepted except some imprints,"Global distribution, strong marketing, wide retailer partnerships","Largest trade publisher; many bestsellers, multiple major literary awards"
Getty Publications,"Los Angeles, United States",https://www.getty.edu/publications/,"History, Art",Multi,175,2019,Winter,Y,N,N,N,Y,N,None,N,N,Prefers proposals relevant to the Getty’s art/historical mission,"Promotion via museum events, retail partners, academic channels",Renowned for high-quality art books & museum catalogs
American Chemical Society Publications,"Washington, United States",https://pubs.acs.org/,"Academic, Science",Multi,500,2019,Summer,Y,N,N,Y,N,Y,None,N,N,Typically peer-reviewed academic proposals; N/A otherwise,"Academic networks, conferences, library distribution",Highly regarded in scientific/academic publishing
The Art Institute of Chicago Publications Dept.,"Chicago, United States",https://www.artic.edu/articles_publications,"Photography, History, Art",Multi,125,2022,Winter,Y,N,N,N,Y,N,None,N,N,Must align with Institute’s exhibitions/research scope; proposals only,"Exhibition tie-ins, museum shop distribution, library/academic channels","Respected museum publisher, recognized for high-quality art monographs"
